customer_id,avg_transaction_value
C13701,1065.72
C09444,3183.92
C07833,1844.31
C08250,2001.64
C09315,1740.03
C17356,2117.46
C17962,1504.31
C09545,2620.14
C02599,1790.19
C18568,1891.05
C17896,2301.19
C17239,3717.03
C09649,2814.22
C03917,1832.30
C18669,2398.12
C05645,3466.87
C08828,1955.55
C16169,1566.37
C17290,2515.28
C17075,2219.11
C03008,2829.11
C14388,1033.24
C15680,2923.26
C17500,2361.36
C01720,1613.63
C01462,3049.45
C18916,5518.14
C09273,2314.63
C00394,1569.47
C06909,1814.86
C14821,3737.23
C16587,2206.72
C00929,2809.65
C00169,1793.75
C07255,3460.97
C16820,3676.25
C15116,2687.27
C03292,1688.80
C17763,2632.57
C10508,2001.95
C12865,1404.95
C03523,1607.16
C13825,2416.13
C03178,2811.80
C16663,2172.84
C18264,1179.33
C06835,2226.84
C12233,1917.27
C17393,1569.22
C06196,3708.98
C16481,2172.04
C08229,2022.48
C19869,1898.02
C07069,482.16
C14273,2375.90
C10081,3866.57
C11987,3082.41
C15210,1959.14
C05206,2596.21
C03294,2455.11
C14040,2387.11
C06657,2821.98
C06923,1854.12
C11675,2681.97
C13098,2750.99
C01815,1868.13
C03941,1802.33
C07765,522.58
C08951,2831.37
C19901,3502.37
C11813,2027.37
C11674,1994.92
C04664,3114.12
C11736,804.66
C02501,3604.76
C07136,1702.09
C15476,3692.09
C18038,1573.66
C08713,2799.65
C17272,1290.19
C11790,1239.60
C10061,1699.90
C00509,2400.33
C16849,3807.86
C11557,2495.32
C10411,1765.66
C00049,2926.57
C07741,4330.70
C12999,1378.13
C11391,608.62
C14941,3164.23
C15049,2392.34
C18550,2769.53
C09831,2019.14
C09833,4272.82
C11235,2325.15
C08054,2191.08
C19676,1033.98
C19780,2443.93
C14290,1770.82
C19182,2940.73
C08521,2301.36
C02630,1721.44
C04798,3442.44
C19069,2042.13
C01435,2501.78
C18581,2609.78
C00310,369.50
C03166,2718.92
C07464,2212.27
C09215,2528.59
C13212,1382.00
C19645,3554.60
C17925,2100.25
C09366,2516.59
C11267,2662.89
C13762,1235.92
C15907,2600.29
C05075,2680.15
C06342,2427.83
C17829,2491.63
C11036,2324.26
C16739,2620.04
C18009,2411.84
C15158,1447.96
